id,channel_name,channel_description,followers,is_official_channel
23485784,RT Arabic,"قناة ""RT Arabic"" الفضائية هيئة إخبارية إعلامية ناطقة باللغة العربية تابعة الى مؤسسة ""تي في -- نوفوستي"" المستقلة غير التجارية. بدأت القناة البث في 4 مايو/أيار عام 2007. يتضمن برنامج بث القناة أخبارا سياسية واقتصادية وثقافية ورياضية وجولات في الصحافة وبرامج دورية وأفلاما وثائقية وتحقيقات مصورة. تبث القناة 24 ساعة يوميا خلال سبعة أيام في الأسبوع. ويتم بث برامج القناة من موسكو بواسطة عدد من الأقمار الصناعية وهي BADR 4 HotBird-6 ،Nilesat 103",1539,True
27070313,СНЧ,"🔥 Понравилось? | 👍 Ставьте лайки | 🚀 Жмите ракету «В ТОП» | 🔔 Подписывайтесь | 🙏 Благодарность

💥 Последние новости сегодня на канале «СНЧ» - это обзор событий в России и во всем мире.",4709,True
23174740,RT на русском,"RT на русском — главные новости России и мира. 
Эксклюзивы, оперативные видео, последние мировые новости, свежие обзоры на главные события — всё это здесь. 
Присоединяйтесь!",98748,True
27879365,Военная Разведка,"Всех приветствую, канал создан исключительно для того чтобы освещать обстановку о ходе проведения специальной военной операции на территории Украины!И вообще чтобы показывать самые интересные новости со всего мира!Чтобы поддержать автора канала,карта сбербанка 2200 2003 3129 6010, Тинькофф 2200 7007 4783 7697, всем спасибо большое за помощь ,канал существует исключительно на ваши пожертвования,быть добру!Юмоней https://yoomoney.ru/to/4100116174601269 !!!Телеграм для связи @OldShcoolGrowe!!!)))",7223,False
23950585,ТАСС,"ТАСС — крупнейшее российское новостное агентство, фото- и графическая службы, освещающие события в режиме реального времени.

Более 500 корреспондентов в России и за рубежом.

Около 200 информационных продуктов о политической, экономической, общественной, культурной, спортивной жизни России и мира.

Дата основания — 1 сентября 1904.

ТАСС — о мире, о стране, о нас!",29323,True
30732760,Павел Онищенко,Авторский политический канал Павла Онищенко,9685,True
31101589,Сила в правде,Политический канал,137,False
36543546,РУТУБик,"НОВОСТИ СЕГОДНЯ | Последние новости
Новости России и мира 
СВО | Новости с фронта
Самые важные события и происшествия дня, недели.
Лента новостей - читать в телеграм https://t.me/rutubik",66,False
23501555,Телеканал 360 и Михаил Онуфриенко,"Самые свежие новости страны и мира 24 часа в сутки. На нашем канале кадры с места событий, интересные репортажи, эксклюзивное видео. Новости о жизни мира от масштабных преобразований до семейных историй жителей, политика, экономика, спорт, происшествия. 
Эксклюзивные разборы СВО с Михаилом Онуфриенко.",146134,True
24051720,Мысли Vслух,,126,False
23605087,viqeo2,,378,False
23321553,Школа на Ясной (МАОУ СОШ 143),"Мультимедийный проект МАОУ СОШ 143 города Екатеринбурга ""Медиастудия на Ясной"".
Учащиеся пробуют себя в профессиях ведущего телеэфира, интервьюера, видеооператора, которые им могут пригодится в дальнейшей жизни.
Руководитель проекта: педагог дополнительного образования Туркин Алексей Юрьевич",15,False
23474078,WarGonzo,"Экстремальная правда, субъективный взгляд на войну, проверка реальности на прочность, незащищённый стёб, милитари-гуманизм - вот основные грани визуального творчества краш-студии wargonzo. В наших видео всегда: оружие в надежных руках, фронтовые события в объективном прицеле, ну и, конечно, много познавательных взрывов и ярких историй.

Для коммерческих запросов: conzowar@gmail.com",14702,True
25280064,СИЛА В ПРАВДЕ ZОV ☑,"❗⚡️ВСЕ ПОСЛЕДНИЕ НОВОСТИ О ХОДЕ СПЕЦОПЕРАЦИИ ВС РФ НА УКРАИНЕ И ЭКСТРЕННЫЕ НОВОСТИ в РОССИИ и МИРЕ.⚡️❗                                                                                                                                                                                                                                                                                                                                                                                                                 
❗ Любая Помощь Каналу Будет Кстати!  Карта Мир:  💤 ✔ 2202 2062 9560 7951 ✔💤                           ЮMoney: https://yoomoney.ru/to/4100111538398975                                          
   Группа в ВК: https://vk.com/silavpravdezv5",13388,False
26720525,"Александр Лесовой 
КПРФ",Политика и история,4,False
1747289,СВОЁ ТВ СТАВРОПОЛЬСКИЙ КРАЙ,"Телеканал «Своё ТВ» - региональный общедоступный телеканал Ставропольского края. 
21 кнопка во всех кабельных сетях.  
В спутнике – 821 канал в Триколоре и 808 у МТС. 
Здесь публикуем наши программы и сюжеты. Вам доступны прямые трансляции важных событий. 
Своё ТВ – это главные новости Ставропольского края, полезная информация, интересные люди!",917,True
9873455,Первый Севастопольский,"3 июня 2009 года можно считать официальной датой основания канала: именно в этот день мы получили лицензию на право вещания. С тех пор мы начали весьма стремительный рост в медиа-пространстве Севастополя. Сегодня мы без лишней скромности заявляем: мы вырвались в лидеры среди СМИ города.
Мы всегда готовы к открытому диалогу с властью города, Крыма, России. Мы можем помочь простым горожанам. Мы идём в ногу со временем и всегда помним о проблемах молодёжи. Для нас важен каждый из Вас. Мы работаем на благо города и его славных жителей. Мы не ограничиваем себя в обсуждениях острых вопросов. Мы не ставим рамок и границ. Мы готовы бороться до решения проблемы. Будьте с нами!

Наш адрес: ул. Вакуленчука 33-а/3
(в фото альбомах есть карта с подробным описанием нашего местонахождения)

Телефоны редакции:
532055
+7 (978)222-03-02

По вопросам рекламы: +7(978) 089-01-03

e-mail: info@sev.tv
Instagram @one_sev_TV",2715,True
12488,"ГТРК ""Ставрополье"" ВЕСТИ Ставропольский край","ПЕРВЫЕ ГЛАВНЫЕ НОВОСТИ Ставрополья 
Смотрите видео новости на сайте https://stavropolye.tv каждый день

Телеканал «Россия» (Россия – 1) свидетельство о регистрации СМИ  Эл № ФСС77-76122 от 24 июня 2019г, лицензии на осуществление  вещания№ 20457 от 05.04.2012 

Российский Информационный Канал «Россия - 24» (Россия - 24) свидетельство о регистрации СМИ Эл № Эл № ФСС77-48108 от 30 декабря 2011г,  на осуществление  вещания лицензии № 20454 от 05.04.2012г.  

Телеканал «Кавказ 24» свидетельство о регистрации СМИ Эл № ФС77-75601 от 19.04.2019, лицензии серия на осуществление  вещания ТВ №29832 ОТ 19.06.2019 г.

#гтркставрополье #вестиставропольскийкрай #ставрополье #вгтрк #гтрк #вести #stavropolye #stavropol #ставрополь #скфо #тв #россия1 #россия24 #новости #news",1069,True
23469114,РИА Новости,"Официальная страница сайта Ria.ru, медиагруппы ""Россия сегодня"". 

Здесь собираем самые интересные видео от наших корреспондентов в России и за рубежом. Подписывайтесь!

Права на контент канала РИА Новости сохраняются за правообладателями в полном объеме. Размещение Контента на Rutube не является предоставлением пользователям Rutube или иным лицам, получающим доступ к Контентному содержимому канала РИА Новости, права использования контента канала РИА Новости каким-либо способом (лицензии). Условия открытых лицензий не применяются к контенту канала РИА Новости.",42363,True
26838190,Народный жилищный инспектор,"ТОВАРИЩ СОБСТВЕННИК!

Обращаюсь к тебе с призывом – стать членом Общероссийского Общественного Движения «НАРОДНЫЙ ЖИЛИЩНЫЙ ИНСПЕКТОР» (ООД «НЖИ») и возглавить систему общественного контроля в своем доме!

Действующая в России нормативно-правовая база управления многоквартирными жилыми домами показывает свою слабую эффективность при реализации собственниками своих прав и интересов в процессе управления своими домами.

По моему мнению, изменить сложившийся порядок вещей должно активное развитие институтов общественного контроля, механизм реализации которых предусмотрен ЖК РФ (ст.20 ч.19), а также ПП РФ от 26.12.2016 N 1491 ""О порядке осуществления общественного жилищного контроля"".

Объединившись, мы сможем изменить ситуацию в наших домах и заставить работать управляющие компании, органы надзора и контроля, местные и региональные органы власти в интересах собственника.

Вступай в наше ООД «НЖИ»! Заполнить заявку на вступление можно, перейдя по этой ссылке https://idu-dom.ru/ngi/",17,False
25094452,"РГВК ""Дагестан""","Официальный канал республиканского государственного вещательного канала ""Дагестан""

Здесь вы можете найти наши тематические передачи и новости. Подписывайтесь!",480,True
31789891,as,,164,False
27240452,NewsFirst,Первый Новостной канал полностью созданный на базе искусственного интеллекта.,1309,False
8151187,LIFE.ru,,2570,True
12050,ТЕЛЕКАНАЛ ЗВЕЗДА,"Официальный канал телерадиокомпании ""ЗВЕЗДА""",40462,True
23484660,Соловьёв LIVE,"Добро пожаловать на RuTube-канал Владимира Соловьева!


Владимир Соловьев в социальных сетях:
Telegram: https://t.me/SolovievLive
ВКонтакте: https://vk.com/solovievlive

Присоединяйтесь!",383013,True
23788980,Первый Республиканский Канал,"Первый Республиканский Канал ДНР

КОНТАКТЫ

? г. Донецк, ул. Куйбышева, 61.

? Тел: (071) 302-54-17, (099) 460-48-54 (реклама)

✉ trk@republic-tv.ru, respubliktv.reklama@yandex.ru (реклама)

Видеоматериалы от телезрителей: dnr.tv@yandex.ru,",2060,False
23860732,МеталлTV,,12,False
31300691,Планета ЗЕМЛЯ,Обо всём о разном.,34,False
23872149,РЕН ТВ. Новости,"Один из крупнейших российских национальных телевещателей.
Новости РЕН ТВ — информационная программа о самых актуальных событиях в России и мире.

▶️RUTUBE - https://rutube.ru/channel/23872149/
▶️САЙТ РЕН ТВ: http://ren.tv/
▶️ВКОНТАКТЕ - https://vk.com/rentvchannel
▶️ОК - https://ok.ru/rentv
▶️ДЗЕН - https://zen.yandex.ru/rentv
▶️TELEGRAM - https://t.me/rentv_news
▶️TIKTOK - https://www.tiktok.com/@rentvrussia

ВЫПУСКИ НОВОСТЕЙ в:  8:30, 12:30, 16:30, 19:30 и 23:00",90445,True
23872322,ИЗВЕСТИЯ,"Больше, чем газета! Быстрее, чем телевидение! 

?RUTUBE - https://rutube.ru/channel/23872322/ 
?САЙТ ИЗВЕСТИЙ - https://iz.ru/
?ВКОНТАКТЕ - https://vk.com/izvestia
?TELEGRAM - https://t.me/izvestia
?ДЗЕН - https://zen.yandex.ru/iz
?ОК - https://ok.ru/izvestia 

IZ.RU - новостной интернет-портал Мультимедийного информационного центра «Известия», самый крупный по значимости проект холдинга «Национальная Медиа Группа». Объединенная редакция новостных служб телеканала РЕН ТВ, Пятого канала и газеты «Известия», самая большая корреспондентская сеть в стране и самые оперативные новости во всех актуальных форматах!""",43066,True
82569,ONT.BY |Телеканал ОНТ,"Официальный RuTube-канал Телеканала ОНТ (Республика Беларусь)

- новости Беларуси и мира
- рейтинговые общественно-политические и аналитические программы
- развлекательный контент

Наш сайт: www.ont.by",1821,True
25108011,Оперативные новости и Сводки ополчения (ZOV),"Подпишись на канал ! 
А так же на наш ВК https://vk.com/warnews2022
Сбор средств на Запорожское направление в приобретение Квадрокоптеров , Дронов аптек и ночников 
Карта сбер 
2202 2067 7050 3808
Карта мир 
2200 0206 0059 1236",11125,False
30916801,Патриоты России,#Воздушнодесантные войска #ВДВ #КАРАМЗИН #ХОЧУВСЕЗНАТЬ #ИСТОРИЯ #героисво #героиспецоперации,167,False
1501809,"""Столкновение цивилизаций. Версия Львовича""","Добро пожаловать на RuTube-канал ""Столкновение цивилизаций. Версия Львовича"".

Столкновение цивилизаций на альтернативных ресурсах:
Ютуб - https://www.youtube.com/channel/UCVbxZFHP3JxdHisD72Geg8Q 
ВКонтакте: https://vk.com/public211592908
Яндекс - Дзен - https://zen.yandex.ru/profile/editor/id/5f658b69dd62db2defdd8d3b/publications

Присоединяйтесь!",2054,False
24686830,Телеканал «Волга»,,869,True
24116298,Вечный ZOV,"Альтернативная площадка для размещения различного контента известных блогеров, таких как: Юрий Подоляка, Михаил Онуфриенко и др.",4363,False
26275699,"ГТРК ""Регион-Тюмень""","Тюменское телевидение:
""Россия 1""
""Россия 24""
""Радио России""
""Вести FM""

Номер Viber: + 7 950 491 99 66",70,True
32482084,Данил Стрельченко,,0,False
23649990,РГ МЕДИА,,2959,True
27219372,Дмитрий [не] Донской,"Добрый день, уважаемый зритель! Моё имя Дмитрий, я горячо и искренне приветствую тебя. 
Буду благодарен, если вы поддержите меня и мой канал. 
Большое спасибо.",9089,False
23493187,Новости Шоу-бизнеса | Total ShowBiz,"✪ На нашем канале только лучшие и последние новости из мира шоу бизнеса. Интервью, слухи, сплетни, скандалы, новости знаменитостей и звезд.
Отборные интересные новости российского шоу бизнеса КАЖДЫЙ ДЕНЬ. Факты и самые последние подробности из жизни кумиров.

✪  Не забывайте подписываться, ставить лайки и комментировать. Отличного дня и чудесного настроения!

Подписывайтесь:
YouTube: https://www.youtube.com/totalshowbiz
RuTube: https://rutube.ru/u/totalshowbiz/
Telegram: https://t.me/totalshowbiz
VK: https://vk.com/totalshowbiz

*Весь музыкальный контент, использующийся в видео на данном канале, размещен на основании лицензии MOVAVI*",2538,True
28059561,Соломон,Враг будет разбит! Победа будет за нами! На канале публикуется микс новостей из открытых источников.,2596,False
30649346,Новости Мира,"#Новости #Мир #Миртанков, #эпизоды #боя
#Bitcoin #анализ #технический  #прогноз #акций  #валют #Татнефть #Газпрома #ЛУКОЙЛ #нефть #brent #Car #tuning
#RUB/USD #RUB #USD 
Мой Telegram канал: https://t.me/TechnicalForecast
https://t.me/+X7EoinYypE1kNTQy

Мой Дзен https://dzen.ru/id/5e9f076b3fdcda291b798d2f

ДИСКЛЕЙМЕР ⚠️
Мы не даем советов по инвестированию. Весь контент выпускается строго в образовательных и познавательных целях. Принимая то или иное решение, основываясь на наших материалах, только вы несете ответственность за эти решения. Мы не призываем к действиям, связанных с инвестированием, мы призываем к тому, чтобы вы сами анализировали информацию и самостоятельно принимали решение.",44,True
23460655,Первый канал,,71465,True
17543748,News Front,"Добро пожаловать в официальный аккаунт информационного агентства news-front.su

News Front — это народное информационное агентство, которое создаётся руками волонтёров, желающих показать и рассказать вам правду из первых рук.

• У нас 68-миллионная аудитория
• Качественный видеоконтент и новости
• Мы вещаем на 10 языках",7908,True
24127412,Вести. Красноярск,,151,True
26297596,СУРГУТИНФОРМТВ,"ЗАО Телекомпания «СургутИнформТВ» (СТВ) — это одна из крупнейших в России независимых региональных компаний, оснащенная современной аппаратурой, позволяющей, в том числе, вести прямое вещание в любую точку страны. Основана в 1990 году 15 ноября. СТВ это  2 собственных ТВ канала  “C-1”  и  “86” на которых идет круглосуточное вещание, сайт sitv.ru - самый популярный информационный интернет ресурс в Югре, радио 7 и каналы партнеры НТВ, РЕН и Домашний

 www.sitv.ru",23,False
23792780,ГТРК ЛНР,"ГТРК ЛНР
Официальный сайт ГТРК ЛНР https://gtrklnr.ru 
Телеграм https://t.me/GTRKLNR_Lugansk24
VK https://vk.com/gtrk.lnr_lugansk24
OK https://ok.ru/gtrk.lnr.lugansk24",1020,True
23469099,Радио Комсомольская Правда,"Официальный канал Радио «Комсомольская Правда» — информационно-разговорной радиостанции, вещающей в круглосуточном режиме.
Тут вы можете увидеть ознакомиться с архивом программ.
Подписывайтесь и делитесь видео! А также пишите, задавайте свои вопросы в прямом эфире по телефону 8-800-200-97-02 (звонок бесплатный для всех жителей России), присылайте сообщения в WhatsApp и Viber на номер +7-967-200-97-02.
 
Подкасты, программа передач, прямой эфир 24/7 и самые главные новости на нашем новом сайте
https://radiokp.ru/ 

Мы в соцсетях:
 
https://t.me/radiokp
https://vk.com/radiokp
https://ok.ru/radiokp",40404,True
23642434,URA.RU,"URA.RU - информационное агентство. Самые главные новости России и мира понятным языком. 
Подписывайтесь на канал и всегда будьте в курсе событий!

Читайте на сайте: https://ura.news/
Telegram: https://t.me/uranews
Вконтакте: https://vk.com/ura_ru",4080,False
